id;TIPO DE VENTANA;PERFIL MARCO;PERFIL HOJA;MOSQUITERO;BATIENTE;TAPAJAMBA;CANT_VIDRIOS;MULT_MARCO;MULT_HOJA;MULT_MOSQ;MULT_BATIENTE;MULT_TAPAJAMBA;CERROJOS;RODOS;RODO MOSQUITERO;BISAGRAS;CHAPA;DEMAS ACCESORIOS;;ACCESORIOS
22;PUERTA CORREDIZA 2 HOJAS 66 CM MARCO 5 CM CHAPA AMBAS HOJAS;MARCO CORREDIZO S80 5 CM;HOJA CORREDIZA S60 6,6 CM;HOJA CEDAZO;BATIENTE CORREDIZO;TAPAJAMBA;2;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *4;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *4;SUMAR ALTO Y *2;;4;2;;1 CHAPA INTERNA;1 CHAPA CON LLAVE;;2 CREMONA 60 CM
23;PUERTA CORREDIZA 2 HOJAS 66 CM MARCO 5 CM CHAPA EN 1 HOJA;MARCO CORREDIZO S80 5 CM;HOJA CORREDIZA S60 6,6 CM;HOJA CEDAZO;BATIENTE CORREDIZO;TAPAJAMBA;2;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *4;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *4;SUMAR ALTO Y *2;1;4;2;;1 CHAPA INTERNA;;;1 CREMONA 60 CM
24;PUERTA CORREDIZA 2 HOJAS 66 CM MARCO 5 CM SOLO CERROJO;MARCO CORREDIZO S80 5 CM;HOJA CORREDIZA S60 6,6 CM;HOJA CEDAZO;BATIENTE CORREDIZO;TAPAJAMBA;2;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *4;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *4;SUMAR ALTO Y *2;1;4;2;;;;;
25;PUERTA CORREDIZA 3 HOJAS 66 CM MARCO 5 CM LATERALES OCULTOS;MARCO CORREDIZO S80 5 CM;HOJA CORREDIZA S60 6,6 CM;HOJA CEDAZO;BATIENTE CORREDIZO;TAPAJAMBA;3;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *6;SUMAR ANCHO Y ALTO Y *4;SUMAR ANCHO Y ALTO Y *6;SUMAR ALTO Y *4;2;6;2;;;;;
26;PUERTA CORREDIZA 3 HOJAS 66 CM MARCO 5 CM 3 IGUALES;MARCO CORREDIZO S80 5 CM;HOJA CORREDIZA S60 6,6 CM;HOJA CEDAZO;BATIENTE CORREDIZO;TAPAJAMBA;3;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *6;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *6;SUMAR ALTO Y *4;2;6;2;;;;;
27;PUERTA CORREDIZA 4 HOJAS 66 CM MARCO 5 CM;MARCO CORREDIZO S80 5 CM;HOJA CORREDIZA S60 6,6 CM;HOJA CEDAZO;BATIENTE CORREDIZO;TAPAJAMBA;4;SUMAR ANCHO Y ALTO Y *2;SUMAR ANCHO Y ALTO Y *8;SUMAR ANCHO Y ALTO Y *4;SUMAR ANCHO Y ALTO Y *8;SUMAR ALTO Y *4;2;8;2;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
